Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Exclusivity.perceptual,Exclusivity.action,Exclusivity.sensorimotor,Modality
staple,1.278,0.056,1.833,0.278,0.111,3.722,0.05,3.6,1,0.2,0.2,0.504,0.703,0.298,Visual
staple gun,2.444,0,2.889,0.056,0.056,3.833,0.105,4.421,1.684,0.053,0.158,0.413,0.68,0.282,Visual
stapled,1.412,0.235,2.824,0.588,0.176,3.941,0.5,3.3,1.3,0.55,0.55,0.41,0.452,0.245,Visual
stapler,2.368,0.211,2.947,0.263,0.421,4.053,0.105,3.316,1.211,0.158,0.526,0.374,0.604,0.253,Visual
stapling,1.938,0,1.938,0.188,0,3.438,0.053,3.632,0.947,0.053,0.158,0.458,0.739,0.294,Visual
star,0.833,0.111,0.167,0.611,0.167,4.444,0.6,0.9,3.1,1.05,0.75,0.684,0.391,0.34,Visual
star fruit,0.062,3.562,2.125,0.75,2.125,3.938,0.111,2.056,2,3.611,0.722,0.308,0.412,0.184,Visual
starboard,0.8,0.2,0.933,0.467,0.2,3,1.294,1.412,1.941,0.294,1.294,0.5,0.264,0.237,Visual
starch,0.647,2.059,2.176,0.824,1.353,3,0.19,1.429,1.143,1.667,0.19,0.234,0.32,0.191,Visual
starched,0.4,0.867,3.533,0.267,0.933,2.267,0.625,2.125,1.562,0.875,0.688,0.395,0.255,0.231,Haptic
starchiness,0.278,2.556,2.111,0.444,0.222,1.167,1,2.105,1.895,1.789,1.421,0.344,0.135,0.156,Gustatory
starchy,0.294,3.176,0.765,0,0.706,1.588,0.3,0.65,1.55,2,0.75,0.486,0.324,0.27,Gustatory
stardom,2.6,0.3,0.25,1,0.35,3.2,1.474,2.316,3.684,3.158,1.526,0.383,0.182,0.173,Visual
stardust,0.111,0.056,0.611,0.722,0,2.778,0.25,0.6,1.75,0.25,0.2,0.649,0.508,0.379,Visual
stare,0.25,0.179,0.357,0.857,0.214,4.321,0.115,0.158,4.678,0.194,0.168,0.671,0.859,0.397,Visual
starfish,0.048,0.19,2.143,0.048,0.19,3.905,0.545,1.455,2.091,0.045,0.182,0.591,0.474,0.356,Visual
starflower,0.385,0.154,1.308,0.308,1,2.308,0.133,0.733,2.133,0.2,0.2,0.394,0.588,0.245,Visual
stargaze,0.5,0.2,0.1,0.7,0.25,4.4,0.55,1,4,0.7,0.7,0.699,0.496,0.328,Visual
stargazer,0.588,0.118,0.647,0.294,0.176,4.471,0.632,1,3.579,0.789,0.632,0.692,0.444,0.337,Visual
stargazing,0,0,0,0.556,0,4.722,0.263,0.316,4.105,0.368,0.368,0.895,0.709,0.441,Visual
staring,0,0,0,0.75,0,3.312,0.053,0.053,4.842,0.053,0.053,0.815,0.948,0.531,Visual
stark,0.467,0.267,0.267,0.333,0.333,1.8,0.895,0.947,2.526,1.211,0.842,0.442,0.262,0.229,Visual
stark naked,0.2,0.133,1.267,1.4,0.133,4.733,3.562,2.812,3.25,1.5,4.125,0.585,0.172,0.199,Visual
starkness,0.417,0.083,0.417,1.083,0.167,3.25,0,0.056,2.056,0.444,0.056,0.585,0.787,0.405,Visual
starless,0.667,0.333,0.333,0.8,0.333,3.733,0.05,0.15,3.2,0.1,0.05,0.548,0.887,0.378,Visual
starlet,1.889,0,0.333,0.407,0.074,3.111,0.19,0.571,1.857,0.381,0.333,0.535,0.5,0.34,Visual
starlight,0,0,0,0.235,0,4.706,0.389,0.444,4.5,0.5,0.389,0.952,0.661,0.422,Visual
starlit,0.056,0,0,0.278,0.111,4.056,0.211,0.263,2.947,0.263,0.158,0.901,0.726,0.486,Visual
starred,1.333,0,0.167,0.444,0,3.278,0.278,0.5,2.389,0.556,0.444,0.628,0.507,0.349,Visual
starriness,0.067,0,0,0.2,0,3.4,0.4,0.467,2.667,0.667,0.467,0.927,0.486,0.408,Visual
starring,2.056,0.222,0.111,0.167,0.056,3.222,1.053,1.316,2.579,1.263,0.842,0.543,0.246,0.246,Visual
starry,0.579,0.263,0.263,0.474,0.368,4.263,0.211,0.474,2.895,0.737,0.368,0.644,0.573,0.372,Visual
starship,1.966,0,0.724,0.276,0.31,3.241,1.029,1.4,2.543,0.8,0.829,0.497,0.264,0.247,Visual
starstruck,1.474,0.211,0.158,2.632,0.263,2.368,0.842,0.789,3.526,2.105,0.895,0.348,0.335,0.221,Interoceptive
start,2.4,0.4,1.1,1.5,0.4,3.6,1.6,1.85,2.05,1.65,1.05,0.34,0.122,0.182,Visual
starter,1.737,0,0.474,0,0,2.789,1,2.095,2.143,0.667,0.762,0.558,0.221,0.239,Visual
starting,1.65,0.1,0.95,1.6,0.1,2.6,2.65,2.4,2.5,1.8,1.55,0.357,0.101,0.142,Visual
starting point,0.368,0.211,0.368,0.421,0.211,3.263,1.333,1.095,2.048,1,0.857,0.63,0.188,0.273,Visual
startle,2.133,0.6,0.733,3,0.533,3,1.667,2.5,2.944,2.778,1.889,0.247,0.108,0.113,Interoceptive
startler,3.25,0.125,0.938,2,0.188,3.062,1.263,2.053,2.789,2.421,1.105,0.327,0.175,0.163,Auditory
startling,2.412,0.353,0.412,3.235,0.294,2.588,1.35,1.3,2.4,1.65,1.4,0.316,0.136,0.169,Interoceptive
startlingly,2.083,0,0.167,2.667,0,2.75,1,1.222,2.222,1.833,1.444,0.359,0.158,0.179,Visual
startup,2.333,0,0.583,0.333,0.083,2.75,0.95,1.9,2.2,0.9,0.7,0.452,0.226,0.216,Visual
starvation,0.765,0.882,0.353,4.824,0.529,1.765,0.85,0.9,1.9,2.25,2.6,0.49,0.206,0.254,Interoceptive
starve,0.647,0.882,0.706,4.059,0.471,2.176,0.75,0.95,2.3,2.55,3.7,0.401,0.288,0.187,Interoceptive
starved,0.81,1.286,0.714,4.619,1.048,1.905,0.25,0.55,2.1,3.35,3.6,0.376,0.34,0.216,Interoceptive
starving,0.737,1.526,0.368,4.158,1.421,2.263,0.263,0.579,2.474,2.211,3.158,0.362,0.333,0.203,Interoceptive
stash,0,0.056,0.944,0.111,0.111,3,0.6,2.85,1.2,0.35,0.35,0.711,0.467,0.313,Visual
stat,2.333,0.083,0.167,1.083,0.25,3.083,0.722,0.889,2.389,1.111,0.278,0.429,0.392,0.242,Visual
state,1.444,0,0.222,0.389,0.333,2.889,0.3,0.4,1.95,2.7,0.3,0.547,0.425,0.264,Visual
state attorney,3.158,0.316,0.789,0.526,0.316,3.789,0.429,1.048,2.857,1.905,0.476,0.391,0.362,0.223,Visual
state department,1.9,0.05,0.25,0.15,0,2.7,0.75,0.85,1.85,1.3,0.6,0.535,0.234,0.26,Visual
state prison,2.333,0.389,0.889,0.556,0.833,3.722,1.143,1.238,2.143,0.857,0.952,0.382,0.203,0.221,Visual
state trooper,2.6,0,0.9,0.4,0.1,4.2,0.455,1,2.682,1.864,0.5,0.512,0.343,0.286,Visual
stated,2.941,0.294,0.353,0.294,0.118,1.294,0.2,0.75,1.6,3.55,0.25,0.533,0.528,0.295,Auditory
statehood,0.625,0,0.188,0.688,0,1.625,0.211,0.316,1.474,0.526,0.421,0.52,0.429,0.268,Visual
statehouse,1.176,0.294,0.647,0.647,0.294,3.765,0.722,0.889,2,0.389,0.444,0.509,0.362,0.308,Visual
stateless,1.533,0,0.2,0.533,0.133,1.4,0.263,0.211,1.895,0.632,0.263,0.404,0.516,0.268,Auditory
stateliness,2.143,0.429,0.5,1,0.786,3.357,0.438,0.625,1.875,0.688,0.5,0.357,0.348,0.237,Visual
stately,1.062,0.125,0.75,1.125,0.25,2.812,1.067,1.333,2.133,1.467,0.8,0.439,0.196,0.208,Visual
statement,3.211,0.263,0.368,0.263,0.211,1.947,0.35,0.55,2.4,3,0.35,0.479,0.398,0.232,Auditory
stateroom,1.038,0.038,0.654,0.154,0.154,3,0.312,0.5,1.562,0.188,0.312,0.588,0.478,0.374,Visual
stateside,1.688,0.5,1.125,0.938,0.938,2.438,1.167,1.222,1.444,1.056,0.889,0.254,0.096,0.145,Visual
statesman,2.118,0.294,0.353,0.353,0.294,3.588,0.444,1.056,2.556,1.611,0.667,0.471,0.333,0.247,Visual
statesmanlike,3.692,0,0.077,1.308,0,2.769,1.176,1.706,2.647,2,1.118,0.471,0.177,0.224,Auditory
statesmanship,1.778,0,0.278,0.667,0,2.889,0.737,1.105,2.579,2,0.789,0.515,0.255,0.225,Visual
stateswoman,2.444,0.389,0.667,0.167,0.389,3.5,0.727,1.182,3.045,2.227,0.636,0.441,0.308,0.217,Visual
statewide,0.467,0,0,0.267,0,1.6,0.5,0.7,0.85,0.55,0.55,0.686,0.111,0.292,Visual
static,2.85,0.25,2.95,1.8,0.4,2.4,1.095,1.667,2,0.857,0.905,0.254,0.175,0.157,Haptic
statically,1.353,0.529,1.059,0.706,0.471,3.176,0.571,1.238,2.476,0.714,0.714,0.371,0.333,0.208,Visual
statics,1.286,0,0.786,0.714,0,1.929,0.762,1.238,1.429,0.333,0.476,0.409,0.258,0.215,Visual
station,1.421,0,1.105,0.211,0.632,4.053,1.381,1.429,2.81,0.714,0.714,0.546,0.297,0.28,Visual
station wagon,1.429,0,2,0.095,0.238,4.429,1.947,2.579,2.632,0.737,1.211,0.541,0.208,0.256,Visual
stationary,0.188,0,2.312,0.5,0.125,4.625,2.143,1.81,1.476,1.048,1.667,0.597,0.135,0.291,Visual
stationery,0.3,0.05,2,0.4,0.15,3.25,1.55,2.75,2.3,1.1,1.5,0.52,0.179,0.208,Visual
stationmaster,3.1,0,0.2,0,0,3.3,0.375,1.25,2.5,1.312,0.312,0.5,0.38,0.267,Visual
statistic,2.45,0.1,0.6,0.4,0.05,3.8,0.238,1,3,0.667,0.19,0.507,0.551,0.3,Visual
statistical,1.933,0.067,0.067,0.067,0.067,3.867,0.368,1,2.842,1.158,0.474,0.626,0.423,0.319,Visual
statistically,2.143,0,0.143,0.095,0,3.857,0.316,1.263,2.316,1.263,0.316,0.618,0.365,0.329,Visual
statistician,2.656,0.156,0.656,0.531,0.156,3.406,0.278,1.111,2.556,0.944,0.389,0.43,0.432,0.253,Visual
statistics,0.765,0,0,0.235,0,2.588,0.111,0.611,3.667,0.833,0.222,0.721,0.653,0.406,Visual
statue,0.316,0.211,2,0.368,0.211,4.526,0.526,1.105,2.211,0.263,0.737,0.566,0.402,0.346,Visual
statuesque,0.444,0.167,1,1,0.222,3.944,2,1.9,2.15,0.55,2.1,0.557,0.184,0.244,Visual
statuette,0.05,0.05,1.8,0.25,0.05,4.05,1,2.765,3.059,0.235,0.824,0.64,0.358,0.283,Visual
stature,0.947,0,1.105,0.737,0,4.316,1.579,1.526,1.947,0.895,1.579,0.607,0.14,0.295,Visual
status,2.056,0,0.278,1.111,0,2.667,0.476,0.857,3.381,1.143,0.619,0.436,0.449,0.269,Visual
status quo,2.4,0.4,0.5,0.8,0.45,3,0.5,0.444,2.278,1,0.389,0.344,0.41,0.215,Visual
statute,1.118,0,0.176,0.176,0,2.118,0.8,1.4,1.9,1.45,1.15,0.59,0.164,0.206,Visual
statutory,2.182,0.182,0.182,0.455,0.091,2.727,0.111,0.889,1.833,0.778,0.167,0.453,0.456,0.275,Visual
staunch,1.692,0.231,0,0.923,0.385,3.077,0.6,0.933,2.867,1.467,0.933,0.488,0.333,0.235,Visual
staunchness,1.667,0.167,0.25,0.917,0.417,2,1,1,2.267,1.2,1.067,0.338,0.194,0.176,Visual
stay,1.1,0,0.65,0.6,0,3.35,1.762,1.143,1.667,0.667,1,0.588,0.176,0.281,Visual
stay away,1.778,0.222,0.389,1.444,0.389,2.944,1.053,1.316,1.737,0.737,0.632,0.38,0.202,0.215,Visual
stay off,0.941,0,0.706,0.471,0,2.294,1.667,1.778,1.611,1.444,1.111,0.52,0.088,0.191,Visual
stay over,1.059,0.059,0.706,0.588,0.118,1.882,1.4,1.15,1.9,1,1,0.413,0.14,0.17,Visual
stay put,1.263,0.053,0.632,0.579,0.053,2.895,2.263,1.579,2.368,0.947,2,0.519,0.155,0.194,Visual
stayed,0.706,0.059,0.471,0.941,0.118,2.118,1.65,1.35,1.75,0.85,1.35,0.467,0.129,0.181,Visual
stays,1.053,0,0.632,0.632,0.053,2.632,1.684,1.368,1.895,1.316,1.316,0.526,0.076,0.209,Visual
stead,1,0.077,0.692,0.462,0.154,2.308,1.067,0.933,1.467,0.467,0.933,0.475,0.205,0.233,Visual
steadfast,2.214,0.357,0.571,1.214,0.357,2.929,1.95,1.8,2.6,1.6,1.95,0.336,0.101,0.147,Visual
steadfastly,1.235,0.118,0.294,0.765,0.059,2.059,1.286,1.238,2.238,0.524,1.048,0.442,0.271,0.201,Visual
steadfastness,1.5,0.429,0.786,1.571,0.286,2.143,1.294,0.824,1.941,0.765,0.941,0.277,0.204,0.149,Visual
steadier,0.588,0,1.529,1.353,0,3,2.1,3.05,2.6,1.15,1.45,0.464,0.184,0.181,Visual
steadily,1.611,0.222,1.278,1.222,0.222,2.833,2.455,2.409,1.545,0.409,1.545,0.353,0.245,0.166,Visual
steadiness,0.789,0,1.895,2.316,0,2.421,3.667,3,3.111,1.389,2.611,0.326,0.165,0.173,Visual
steady,1.211,0.158,2.316,1.947,0.158,3.579,2.316,2.474,2.526,1.158,1.526,0.365,0.137,0.177,Visual
steadying,1.263,0,2.158,2.053,0.053,3.053,2.364,2.773,1.591,0.5,1.909,0.356,0.249,0.172,Visual
steak,0.316,4.789,1.632,1.579,3.842,3.316,0.25,2.25,2,4.4,1.05,0.289,0.417,0.179,Gustatory
steak knife,0.474,0.158,3.211,0,0,4.158,0.111,3.944,1.5,0.667,0.389,0.52,0.58,0.285,Visual
steakhouse,0.789,2.368,1,0.632,2.632,3.737,1.286,2.81,2.667,4.095,1.952,0.278,0.219,0.145,Visual
steal,1,0,1,0.882,0,3.294,1.211,3.421,2.158,0.789,1.211,0.533,0.299,0.229,Visual
stealer,0.765,0.176,0.529,0.588,0.118,2.765,0.9,1.95,1.7,1.1,0.85,0.536,0.169,0.231,Visual
stealing,0.524,0.143,1.048,0.286,0.19,2.667,1.571,3.905,2.667,0.952,1.333,0.52,0.283,0.246,Visual
stealth,0.765,0,0.529,1.353,0,3.176,2.235,1.706,1.706,0.824,1.647,0.545,0.174,0.228,Visual
stealth bomber,2.889,0,1.389,1.222,0.333,4.111,1.158,1.368,3.053,0.579,1.211,0.413,0.336,0.237,Visual
stealthily,1.556,0.056,0.833,1.389,0.111,2.667,2.211,1.789,2.579,0.895,1.684,0.395,0.184,0.166,Visual
stealthy,0.368,0,0.211,0.263,0.053,2.474,2.55,2.4,2.25,1.8,1.95,0.734,0.068,0.178,Visual
steam,1.7,0.3,2.75,0.45,0.8,3.85,0.5,1.75,2.4,1.65,0.7,0.36,0.271,0.211,Visual
steam bath,1.105,0.263,3.211,2.368,0.789,3.474,3.167,3.222,3.056,1.667,3.5,0.286,0.125,0.125,Visual
steam engine,3.579,0.158,2.421,0.368,1.105,4.158,0.136,0.318,1.5,0.136,0.182,0.339,0.6,0.286,Visual
steamboat,2.25,0.333,0.5,0.083,0.583,4,1.833,2.25,2.833,0.833,1.083,0.505,0.226,0.236,Visual
steamer,1.524,0.333,1.19,0.429,0.81,2.952,0.053,2.211,1.632,0.632,0.368,0.362,0.441,0.239,Visual
steamily,1.611,0.556,1.111,1.222,1.056,3.444,0.857,1.357,1.929,0.857,1.143,0.321,0.174,0.191,Visual
steaminess,1.214,0.571,2.429,1,1.857,3.786,1.421,1.737,2.579,1.421,1.789,0.296,0.129,0.162,Visual
steaming,1.579,0.421,1.684,0.474,1,3.895,0.524,1.238,1.667,1.048,0.619,0.384,0.224,0.246,Visual
steamroll,0.889,0.222,0.611,0.778,0.111,2.278,1.211,1.526,1.737,0.842,1,0.443,0.142,0.193,Visual
steamroller,1.85,0,1.45,0.35,0.5,3.8,0.85,1.1,0.8,0.35,0.45,0.478,0.211,0.33,Visual
steamship,1.944,0,0.778,0.389,0.444,3.722,0.588,0.882,2.118,0.529,0.529,0.511,0.342,0.312,Visual
steamy,1.056,0.556,2.444,1.111,1.167,4.056,1.15,1.65,2.5,1.5,1.55,0.337,0.162,0.187,Visual
steed,2.333,0.056,2.278,0.556,1.667,3.444,2.357,2.714,2.214,0.571,0.643,0.328,0.252,0.18,Visual
steel,0.947,0.053,3.105,0,0.368,3.842,0.25,2.7,1.9,0.25,0.25,0.462,0.458,0.281,Visual
steel band,2.2,0.3,1.65,0.4,0.25,3.4,0.45,1.9,1.9,0.55,0.5,0.384,0.274,0.233,Visual
steeliness,1.462,0.077,2,1.385,0.231,2.923,1.143,1.571,2.571,1.5,1.357,0.352,0.175,0.175,Visual
steelmaker,1.267,0,0.6,0.133,0.267,2.8,1.286,3.286,2.214,1.286,1.429,0.553,0.211,0.226,Visual
steelmaking,2.222,0,0.722,0,0.556,3.556,0.8,2.85,1.8,0.8,1.15,0.504,0.277,0.246,Visual
steelwork,1.125,0.125,2.125,0.375,0.438,3.562,1.105,2.947,1.895,0,1.211,0.444,0.412,0.239,Visual
steelworker,1.688,0,0.375,0,0.438,3.438,1.286,1.857,2.143,0.857,0.929,0.579,0.182,0.264,Visual
steelworks,2.167,0,2.056,0.222,1.778,3.5,0.722,1.833,1.833,0.389,0.778,0.36,0.26,0.229,Visual
steely,0.625,0.062,1.75,0.562,0.188,2.062,0.333,1.467,1.667,0.2,0.4,0.381,0.361,0.215,Visual
steelyard,2.312,0.062,0.688,0.188,1,3.938,0.611,0.778,1.778,0.222,0.389,0.473,0.412,0.324,Visual
steep,0.333,0,2.111,2.222,0.167,4.222,3.25,2.35,2.05,1,1.65,0.466,0.218,0.218,Visual
steeper,0.231,0,1.462,0.615,0,3.846,2.238,1.095,1.857,0.476,0.857,0.625,0.27,0.303,Visual
steeple,0.118,0,0.235,0,0,4.353,0.6,0.933,1.267,0.467,0.467,0.925,0.214,0.516,Visual
steeply,0.2,0.133,1.4,1.467,0.133,3.533,2.545,1.455,2.364,0,1.091,0.495,0.341,0.247,Visual
steepness,0.211,0,1.684,0.737,0,4.105,3,0.95,1.75,0.35,1.2,0.609,0.366,0.294,Visual
steer,0.882,0.059,2.176,0.118,0.471,3.118,1.105,3.842,2.421,1,1.316,0.448,0.293,0.229,Visual
steerable,1.053,0,2.368,0.316,0,3,0.75,3.6,1.95,0.65,0.9,0.445,0.376,0.247,Visual
steerer,0.5,0.083,0.333,0.167,0.25,2.083,0.944,3.111,1.833,0.333,0.722,0.585,0.4,0.292,Visual
steering,0.118,0,3.176,0.588,0,3.118,0.476,4.714,1.905,0.286,0.952,0.454,0.531,0.307,Haptic
steering wheel,0.317,0.024,4.561,0.805,0.122,4.049,0.316,4.105,1.684,0.211,0.684,0.459,0.556,0.269,Haptic
steeringwheel,0.667,0.056,4.444,0.222,0.167,3.722,0.579,4.842,2.895,0.158,0.737,0.473,0.509,0.259,Haptic
steersman,0.308,0,0.846,0.077,0,2.846,0.474,1.316,1.421,0.526,1,0.698,0.2,0.323,Visual
stegosaur,1.125,0.062,0.812,0.062,0.125,3.125,0.176,0.706,1.529,0.353,0.294,0.576,0.442,0.366,Visual
stegosaurus,1.125,0,0.812,0,0.188,4.375,0.353,0.647,2.412,0.294,0.294,0.673,0.529,0.417,Visual
stellar,1.485,0.303,0.515,1.727,0.303,2.424,0.541,0.865,2.865,0.865,0.568,0.314,0.408,0.206,Visual
stem,0.167,0.333,2.278,0.056,0.333,3.611,0.5,1.5,1.562,0.75,0.25,0.525,0.288,0.314,Visual
stem cell,0.316,0.105,0.421,0.947,0.053,2.368,0.105,0.526,1.263,0.316,0.368,0.55,0.449,0.341,Visual
stemmed,0.286,0,1,0.071,0.214,3.214,0.294,0.706,1.118,0.118,0.059,0.672,0.462,0.454,Visual
stemming,1.4,0.333,1.533,0.667,0.533,2.933,0.357,1,1.429,0.786,0.929,0.351,0.238,0.218,Visual
stemware,0.471,0,2.824,0,0,3.882,0.235,2.412,1.882,1.471,0.294,0.541,0.346,0.288,Visual
stench,0.294,0.118,0,0.118,4.941,0.294,0.7,0.7,3.3,0.95,0.9,0.857,0.397,0.401,Olfactory
stencil,0.278,0,2.444,0,0,4.167,0.2,4.1,1.2,0.2,0.2,0.605,0.661,0.326,Visual
stenograph,1,0,1.562,0.125,0,3.688,0.357,2.571,1.643,0.929,0.571,0.578,0.365,0.296,Visual
stenographer,2.067,0.067,0.733,0.267,0.133,3.267,0.421,3.263,2.368,0.684,0.421,0.49,0.397,0.234,Visual
stenographic,1.455,0.727,1.364,1,0.545,3.364,0.235,1.176,1.824,0.235,0.294,0.333,0.422,0.256,Visual
stenographical,1,0,0.182,0.091,0,3,0.091,2.455,2.545,0.455,0.545,0.702,0.403,0.289,Visual
stenography,0.769,0,0.769,0.308,0,3.846,0.25,3.5,2.688,1.375,0.688,0.676,0.382,0.271,Visual
step,1.3,0,2.45,1.6,0.05,3.05,4.619,0.905,0.952,0.238,0.952,0.361,0.571,0.287,Visual
step down,1.444,0.222,2,0.833,0.111,3.944,3.789,0.211,1.316,1.105,0.842,0.448,0.493,0.242,Visual
step forward,0.75,0,1.188,1.75,0,3.562,4.3,1.1,1.55,0.65,1.25,0.491,0.412,0.267,Visual
step stool,0.353,0,3.235,0,0,4.765,3,0.619,1.048,0.333,0.524,0.57,0.483,0.343,Visual
step up,0.8,0,1.7,1.7,0,2.75,4.571,0.952,1.714,0.476,1.238,0.396,0.457,0.287,Visual
stepbrother,2,0.263,0.737,0.842,0.579,3.053,0.619,1,2.667,1.095,0.524,0.373,0.363,0.209,Visual
stepchild,2.4,0.067,1.467,1.467,0.067,3.333,0.952,1.19,1.857,1.095,1,0.371,0.148,0.219,Visual
stepdaughter,2.474,0,0.895,0.684,0.263,3.053,0.571,1,2.429,1.619,0.524,0.414,0.31,0.226,Visual
stepfather,2.111,0.056,1.222,0.722,0.389,2.778,0.389,0.889,3.667,1.167,0.389,0.374,0.504,0.262,Visual
stepladder,0.667,0.095,3.286,0.19,0.095,4.429,3.474,2.737,2.053,0,1,0.495,0.375,0.246,Visual
stepmother,2.55,0,0.5,0.2,0.65,3.55,0.526,0.842,1.789,0.842,0.474,0.477,0.294,0.298,Visual
stepparent,2.444,0.056,0.722,0.667,0.167,3.278,0.368,1.211,1.684,1.789,0.579,0.439,0.252,0.249,Visual
stepped,1.19,0,1.952,1.238,0,3,3.778,0.556,1.722,0.278,1.056,0.406,0.474,0.256,Visual
stepper,1.231,0.231,1.077,0.538,0.308,2.846,3.091,0.455,1.318,0.318,0.773,0.42,0.466,0.235,Visual
stepping,1.278,0.056,1.056,0.944,0.056,3.611,4.35,0.4,1.1,0.15,0.6,0.508,0.636,0.316,Visual
stepping stone,0.526,0,2.789,0.211,0,3.526,3.81,0.667,1.524,0.333,0.857,0.5,0.483,0.267,Visual
steppingstone,0.778,0,2.111,0.167,0,3.444,3.6,1,1.1,0.3,0.35,0.53,0.52,0.28,Visual
steps,2.167,0,2.111,0.611,0.056,2.944,4.105,0.684,1.211,0.158,0.789,0.373,0.568,0.277,Visual
stepsister,3.533,0.4,1.6,0.733,1.2,3.733,0.8,1.3,1.6,0.9,0.7,0.298,0.17,0.202,Visual
stepson,1.952,0.048,1.048,0.286,0.524,3.286,1,0.778,2.778,1.389,0.722,0.453,0.308,0.234,Visual
stepstool,0.158,0.053,3.158,0.053,0.053,3.868,3.882,1.412,0.882,0,0.765,0.52,0.559,0.272,Visual
stereo,4.167,0,1.833,0.778,0,2.556,0.1,0.8,3,0.2,0.1,0.446,0.69,0.308,Auditory
stereograph,1.571,0.214,1.071,0.571,0.214,2.5,0.294,1.647,2.647,0.294,0.235,0.372,0.471,0.216,Visual
stereographical,1.118,0,0.235,0.118,0,2.765,0.133,1,2.6,0,0.133,0.653,0.672,0.341,Visual
stereophonic,4,0.857,1.286,1.429,0.929,1.5,0.235,0.471,3.059,0.235,0.176,0.314,0.69,0.27,Auditory
stereoscope,0.467,0,1.4,0.133,0,3.4,0.062,0.562,2.188,0.438,0.375,0.63,0.586,0.377,Visual
stereoscopic,1.2,0.1,0.55,0.3,0.15,3.4,0.062,0.875,3.062,0.125,0.75,0.579,0.615,0.316,Visual
stereotype,2.857,0.095,0.333,1.286,0.238,2.429,0.048,0.048,2.762,1.429,0.095,0.382,0.62,0.242,Auditory
stereotyped,3.312,0,0.375,1.438,0.312,2.688,0.286,0.333,2.095,1.238,0.429,0.408,0.413,0.265,Auditory
stereotypic,2.607,0,0.179,0.536,0.036,3.179,0.318,0.364,2.318,1.318,0.409,0.486,0.423,0.282,Visual
stereotypical,2.5,0.625,0.75,1.062,0.562,2.5,0.353,0.471,2.647,1.059,0.471,0.242,0.459,0.176,Auditory
stereotyping,3.053,0.053,0.053,0.842,0.053,3.053,0.55,0.65,3.1,2.2,0.8,0.422,0.349,0.212,Auditory
sterile,0.526,0.368,0.947,0.737,1.211,2.842,0.667,1.714,1.476,0.952,0.524,0.373,0.223,0.207,Visual
sterility,0.588,0.118,0.765,1.765,0.235,1.412,0.4,0.65,1.05,0.95,0.95,0.337,0.162,0.185,Interoceptive
sterilization,0.611,0.444,1.222,1.611,0.889,2.5,0.667,2.143,1.286,0.857,0.714,0.282,0.261,0.159,Visual
sterilize,0.5,0.056,0.889,0.333,0.556,2.167,0.167,2.389,0.833,0.111,0.444,0.469,0.577,0.276,Visual
sterilizer,0.316,0.105,1.263,0.158,1.421,2.684,1,2.263,1.211,1.316,0.947,0.434,0.195,0.203,Visual
sterling,0.833,0.333,3.167,0.417,0.5,4.083,0,0.143,1.429,0,0,0.402,0.909,0.374,Visual
stern,4,0,0.471,2.176,0,3.529,0.19,1.095,2.667,2.857,0.619,0.393,0.359,0.227,Auditory
sternly,2.824,0,0.235,1.588,0,1.765,0.85,1.8,3,3,0.85,0.44,0.226,0.189,Auditory
sternness,3.059,0,0.059,1.118,0,2.059,0.222,0.556,2.111,2.222,0.111,0.486,0.404,0.266,Auditory
sternum,0.267,0.133,2.533,1,0.2,1.933,0.333,1.19,0.905,0.333,3.619,0.396,0.515,0.28,Haptic
steroid,0.056,0.556,0.889,1.833,0.056,2.389,1.474,2.474,1.211,1.105,1.526,0.404,0.176,0.178,Visual
steroids,0.824,0.941,1.706,2.647,0.353,3.176,1.857,2.619,1.714,1.762,2.238,0.293,0.089,0.142,Visual
stethoscope,1.158,0,3.105,0.632,0.053,4.368,0.095,2.619,3.429,0.857,2.286,0.469,0.359,0.235,Visual
stew,1.2,4.75,1.9,1.95,4.55,4.3,0.556,1.722,2.5,2.833,1.111,0.19,0.261,0.153,Gustatory
steward,1.947,0,0.474,0.579,0.105,2.842,1.167,2.278,2.5,2.278,0.889,0.478,0.177,0.189,Visual
stewardess,2.688,0.125,1.062,0.125,0.562,4,0.632,1.053,2.263,1.211,0.526,0.453,0.306,0.272,Visual
stewardship,1.778,0.278,0.444,0.667,0.278,2.389,0.35,0.7,2.55,0.85,0.35,0.362,0.458,0.214,Visual
stewed,1.176,2.471,1.529,0.706,1.941,2.941,0.19,0.619,2,1.714,0.476,0.208,0.362,0.174,Visual
stewpot,1.333,1.556,2.778,0.5,2.389,4.333,0,2.4,1.1,0.65,0.15,0.297,0.558,0.252,Visual
stick,0.5,0.111,2.722,0.056,0.111,4.111,0.95,3.4,1.95,0.55,0.75,0.533,0.375,0.267,Visual
stick figure,0.235,0,0.824,0.059,0.118,4.235,0.95,2.2,2.55,0.55,0.95,0.774,0.278,0.334,Visual
stick out,0.8,0.25,1.8,0.65,0.25,3.65,2.55,2.85,1.95,1.7,1.5,0.459,0.128,0.189,Visual
stick up,1.667,0,0.611,0.944,0,3.611,0.263,2.053,0.842,1,0.526,0.528,0.382,0.314,Visual
stick with,1.75,0.25,0.75,1.5,0.25,2.688,0.773,1.682,1.818,0.909,0.818,0.339,0.174,0.185,Visual
